property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,study room,servant room,store room,pooja room,furnishing_type,luxury_category,total_rooms,floor_category,price
0,80,3.0,5.0,0.0,3.0,1950.0,0.0,0.0,0.0,0.0,1,1.0,8.0,1.0,1.75
0,5,4.0,4.0,3.0,3.0,2586.0,1.0,1.0,1.0,1.0,1,1.0,15.0,0.0,2.45
1,93,3.0,3.0,3.0,1.0,2160.0,0.0,1.0,0.0,0.0,1,1.0,10.0,2.0,4.7
1,33,2.0,2.0,0.0,2.0,864.0,0.0,0.0,0.0,0.0,1,1.0,4.0,1.0,0.7
0,101,3.0,3.0,2.0,1.0,1181.0,0.0,0.0,0.0,0.0,1,1.0,9.0,1.0,1.3
1,11,4.0,4.0,3.0,1.0,5400.0,0.0,1.0,0.0,0.0,2,0.0,12.0,1.0,6.5
0,44,2.0,2.0,3.0,1.0,540.0,0.0,0.0,0.0,0.0,1,2.0,7.0,2.0,0.55
0,111,3.0,2.0,2.0,4.0,1007.0,0.0,0.0,0.0,0.0,1,2.0,7.0,1.0,0.9
0,9,2.0,2.0,3.0,3.0,1284.0,1.0,0.0,0.0,0.0,1,1.0,8.0,1.0,1.15
0,74,3.0,4.0,3.0,3.0,2150.0,0.0,1.0,0.0,0.0,1,2.0,11.0,2.0,3.5
0,103,4.0,4.0,3.0,3.0,2000.0,0.0,0.0,0.0,0.0,1,2.0,11.0,2.0,1.78
0,50,3.0,2.0,3.0,2.0,1664.0,1.0,0.0,0.0,0.0,1,1.0,9.0,2.0,2.5
1,45,6.0,6.0,3.0,0.0,1836.0,1.0,1.0,0.0,1.0,1,1.0,18.0,2.0,3.9
1,34,2.0,2.0,1.0,0.0,810.0,0.0,0.0,0.0,0.0,1,1.0,5.0,1.0,0.55
0,44,4.0,4.0,3.0,3.0,2091.0,0.0,0.0,0.0,0.0,2,2.0,11.0,0.0,1.67
0,103,2.0,2.0,3.0,3.0,1050.0,1.0,0.0,0.0,0.0,1,2.0,8.0,2.0,0.65
0,73,3.0,4.0,3.0,3.0,2803.0,0.0,1.0,0.0,0.0,1,1.0,11.0,2.0,5.5
0,103,4.0,4.0,3.0,3.0,1992.0,0.0,0.0,0.0,0.0,2,1.0,11.0,2.0,2.05
1,58,6.0,3.0,3.0,3.0,900.0,0.0,0.0,0.0,0.0,1,2.0,12.0,2.0,2.25
1,39,5.0,6.0,3.0,1.0,4125.0,1.0,1.0,0.0,0.0,1,2.0,16.0,2.0,11.0
0,4,2.0,2.0,3.0,3.0,1230.0,0.0,0.0,0.0,0.0,1,1.0,8.0,1.0,1.41
